Best,90th,Median,Worst
9267,9460,9678,9790
9267,9460,9678,9790
9267,9460,9678,9806
9267,9460,9678,9806
9267,9460,9678,9806
9267,9460,9678,9806
9267,9460,9678,9818
9267,9460,9679,9818
9267,9460,9678,9818
9267,9477,9678,9818
9267,9477,9678,9818
9267,9477,9678,9818
9267,9477,9678,9819
9267,9477,9679,9819
9267,9477,9679,9819
9267,9477,9679,9819
9267,9477,9679,9819
9267,9477,9679,9819
9267,9460,9679,9819
9267,9477,9679,9819
9267,9477,9678,9819
9267,9477,9679,9819
9267,9477,9679,9819
9267,9477,9679,9819
9267,9477,9679,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9460,9679,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9686,9819
9267,9460,9679,9819
9267,9477,9679,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9679,9819
9267,9460,9686,9819
9267,9460,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9686,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9686,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
9267,9477,9687,9819
